Gender,Birthday,Location,Days Watched,Watching,Completed,On Hold,Plan to Watch,Total Entries,Rewatched,Episodes Watched,Country
Male,1985-03-04 00:00:00+00:00,California,142.3,1.0,233.0,8.0,64.0,399.0,60.0,8458.0,UnitedStates
Male,1988-01-25 00:00:00+00:00,BergenNorway,73.1,11.0,94.0,11.0,20.0,138.0,7.0,4374.0,Norway
Male,1990-02-09 00:00:00+00:00,CalgaryAB,70.6,34.0,148.0,13.0,10.0,211.0,50.0,4117.0,Canada
Male,1989-06-10 00:00:00+00:00,ParisFrance,47.0,6.0,153.0,36.0,101.0,316.0,0.0,2922.0,France
Male,1983-06-09 00:00:00+00:00,LondonEngland,72.6,2.0,125.0,0.0,1.0,128.0,0.0,4329.0,England
Male,1986-11-08 00:00:00+00:00,LulearingSweden,138.5,46.0,260.0,26.0,45.0,378.0,15.0,8358.0,Sweden
Male,1986-07-31 00:00:00+00:00,OntarioCanada,152.8,34.0,188.0,1.0,2.0,227.0,29.0,9153.0,Canada
Male,1982-12-22 00:00:00+00:00,LockedupinShuukabasementworkingoncardsp,247.2,74.0,1478.0,16.0,661.0,2229.0,0.0,14967.0,Shuukabasementworkingoncardsp
Male,1984-04-08 00:00:00+00:00,TampereFinland,78.0,77.0,167.0,10.0,0.0,261.0,1.0,4737.0,Finland
Male,1987-09-12 00:00:00+00:00,FinlandPori,85.0,12.0,194.0,2.0,19.0,252.0,0.0,5053.0,Finland
Male,1985-08-10 00:00:00+00:00,YorbaLindaCalifornia,9.4,2.0,3.0,3.0,3.0,11.0,2.0,577.0,UnitedStates
Male,1983-09-16 00:00:00+00:00,PandanJaya,8.5,6.0,18.0,0.0,15.0,39.0,0.0,547.0,Jaya
Male,1990-12-10 00:00:00+00:00,Newyork,61.4,83.0,269.0,7.0,62.0,451.0,4.0,3736.0,Newyork
Male,1984-02-18 00:00:00+00:00,JohorMalaysia,41.8,11.0,115.0,2.0,0.0,133.0,0.0,2463.0,Malaysia
Male,1988-09-28 00:00:00+00:00,Michigan,48.2,7.0,172.0,27.0,4.0,288.0,5.0,2980.0,UnitedStates
Male,1990-04-29 00:00:00+00:00,HelsinkiFinland,167.3,1.0,470.0,0.0,3.0,478.0,0.0,10017.0,Finland
Male,1985-04-04 00:00:00+00:00,WilmingtonNorthCarolina,13.9,5.0,35.0,10.0,20.0,71.0,3.0,801.0,Carolina
Male,1988-10-17 00:00:00+00:00,Belgium,21.2,0.0,30.0,2.0,28.0,62.0,2.0,1293.0,Belgium
Male,1985-02-03 00:00:00+00:00,InterlakenBernSwitzerland,161.6,6.0,347.0,24.0,106.0,508.0,71.0,40113.0,Switzerland
Male,1982-07-10 00:00:00+00:00,PrincetonNJ,77.4,10.0,309.0,20.0,14.0,369.0,11.0,4457.0,UnitedStates
Male,1988-01-03 00:00:00+00:00,BeachwoodOhio,46.2,4.0,62.0,15.0,28.0,111.0,0.0,2731.0,UnitedStates
Male,1978-12-08 00:00:00+00:00,MiamiBeach,70.9,22.0,167.0,3.0,79.0,281.0,0.0,4162.0,Beach
Male,1992-06-15 00:00:00+00:00,Norway,180.7,31.0,567.0,19.0,0.0,662.0,180.0,11283.0,Norway
Male,1986-05-28 00:00:00+00:00,AustinTexas,130.5,7.0,162.0,5.0,22.0,196.0,19.0,7833.0,UnitedStates
Female,1990-05-28 00:00:00+00:00,US,52.9,35.0,91.0,20.0,11.0,159.0,0.0,3142.0,UnitedStates
Male,1987-04-17 00:00:00+00:00,Sweden,36.1,5.0,121.0,8.0,44.0,178.0,0.0,2077.0,Sweden
Male,1981-07-09 00:00:00+00:00,CarlislePennsylvania,102.1,1.0,217.0,0.0,0.0,218.0,25.0,6012.0,UnitedStates
Female,1983-08-11 00:00:00+00:00,HarrisburgPA,238.5,12.0,754.0,16.0,109.0,916.0,28.0,14108.0,UnitedStates
Male,1990-06-25 00:00:00+00:00,Latvia,61.1,5.0,150.0,21.0,18.0,198.0,10.0,3610.0,Latvia
Female,1981-08-07 00:00:00+00:00,StockholmSweden,63.6,5.0,138.0,17.0,25.0,188.0,21.0,3669.0,Sweden
Female,1990-10-28 00:00:00+00:00,CaiforniawiththePikas,492.6,79.0,1816.0,35.0,78.0,2027.0,325.0,29778.0,Pikas
Male,1979-08-03 00:00:00+00:00,SouthamptonUnitedKingdom,78.7,28.0,136.0,20.0,74.0,280.0,14.0,4680.0,Kingdom
Female,1991-06-16 00:00:00+00:00,QueensNewYork,112.5,3.0,380.0,1.0,14.0,561.0,88.0,6566.0,England
Male,1990-09-06 00:00:00+00:00,EnglandUK,32.9,5.0,48.0,56.0,49.0,163.0,4.0,1945.0,England
